finale 	[sound:youdao-eb98c73e-add0b6bb-d50e4114-f7daf212-9852bdba.mp3]	[fɪ'nɑːlɪ; -leɪ]	n. 結局；終曲；最後一場；最後樂章；尾聲 n. (Finale)人名；(英)菲納利；(意、西)菲納萊	The Orioles rebounded to win in 10 innings on Tuesday night before coasting in the finale.			
pedestal 	[sound:youdao-7e0fabde-952aa2fa-a2d9a37e-91eed671-8ef3e50b.mp3]	['pedɪst(ə)l]	n. 基架，基座；基礎 vt. 擱在台上；支持；加座	Apple has been put on a pedestal and no one expects them to dominate anything.			
batting 	[sound:youdao-ed4cdd16-f386ca69-581b5599-3f96f51d-ee53d43d.mp3]	['batɪŋ]	n. 打擊；打球；棉絮 v. 擊球；打擊（bat的ing形式） n. (Batting)人名；(英)巴廷	Tendulkar's fitness is a major boost for India as they consider their batting line-up.			
tedious 	[sound:youdao-a3e33334-6fd50ac0-207991dd-f9f91545-5fc21364.mp3]	['tiːdɪəs]	adj. 沉悶的；冗長乏味的	Construction crews are hauling in heavy equipments to start the long and tedious clean-up process.			
cot 	[sound:youdao-583e1ef1-c3bff747-a40b6ecf-51859082-c47ae4d1.mp3]	[kɒt]	n. 簡易床；小屋；輕便小床 n. (Cot)人名；(法)科特	His bed at the palace was a cot he had brought with him from Kuwait.			
nostalgic 	[sound:youdao-dbfedc91-2edd7ce4-c7212260-b80dbafb-5ce2707c.mp3]	[nɒ'staldʒɪk]	adj. 懷舊的；鄉愁的	It's already making the band nostalgic for the peace and quiet of last year.			
dignified 	[sound:youdao-85214a28-6ee13626-8c49f383-4250c76f-ad197c5e.mp3]	['dɪgnɪfaɪd]	adj. 莊嚴的；有尊嚴的；高貴的 v. 使高貴（dignify的過去式）	We don't want lavish, pompous weddings, much better to have a private and dignified affair,  he said.			
relentlessly 	[sound:youdao-ba7e2eb2-d7bac7a2-4c2a9e68-903f7e69-a4dc3039.mp3]	[rɪ'lɛntlɪslɪ]	adv. 殘酷地，無情地	"The posters are either relentlessly peppy--""Let's go to work as one man for road maintenance!"""			
folded 	[sound:youdao-f436829d-501d4a8d-d2a3db3b-bd669ba1-c73b06bf.mp3]	[fold]	v. 折疊；交叉合攏；失敗垮台；把牲畜關在欄中（fold的過去分詞） adj. 折疊的；褶曲的	Sometimes you play music, and all you see is a sea of folded arms,  Noble says.			
scroll 	[sound:youdao-d4d18e27-4aab3f80-0ec13135-27062723-d2ef0534.mp3]	[skrəʊl]	n. 卷軸，畫卷；名冊；卷形物 vi. 成卷形 vt. 使成卷形	None of these companies acknowledge a partnership on eye scroll with Samsung on their websites.			
scripture 	[sound:youdao-da41bf7f-0853769b-6aacbb38-121cf6dc-0adf4d8e.mp3]	['skrɪptʃə]	n. （大寫）聖經；手稿；（大寫）聖經的一句 n. (Scripture)人名；(英)斯克裡普丘	In 1997 the charity decided to develop a scripture-based literacy program for kids, called Phillip's Project.			
makeover 	[sound:youdao-49bdbd47-6e2d1bee-e7e75457-4ece0d5b-5e9a39ea.mp3]	['meɪkəʊvə(r)]	n. 化妝美容；大轉變	This venerable country house hotel on the edge of Elterwater has been given a much-needed makeover.			
humanities 	[sound:youdao-372ad2e5-44836e48-698c93a3-8ab353ec-adb75d78.mp3]	[hjʊ'manətɪz]	n. 人文學科（humanity的複數 ）	Rachel is a member of the President's Committee on the Arts and the Humanities.			
omission 	[sound:youdao-fbca16ea-0887fd4e-6631d429-8aac8c51-eeaa4e69.mp3]	[ə(ʊ)'mɪʃ(ə)n]	n. 疏忽，遺漏；省略；冗長	Johnson will certainly rectify this omission in the book's next edition, one of many to come.			
turbulence 	[sound:youdao-56c06d5f-d007ec50-8b62a4b2-af94f747-0a2fae44.mp3]	['tɜːbjʊl(ə)ns]	n. 騷亂，動盪；[流] 湍流；狂暴	Most equities are down over the last year — even without taking into account the recent market turbulence.			
reptile 	[sound:youdao-98b593e9-89368b73-7c231ffe-dcfd617d-53ba4869.mp3]	['reptaɪl]	adj. 爬蟲類的；卑鄙的 n. 爬行動物；卑鄙的人	"Her signature ""serpent cuffs"" resemble reptile scales, referring to a deity from southeastern Native American spirituality."			
emeritus 	[sound:youdao-86ae9727-c17616ce-4f1d6fe8-e23c7f83-58c5cd5a.mp3]	[ɪ'merɪtəs; iː-]	adj. 退休的；名譽退休的	Jagdesh GudaraProfessor Jagdish Gundara is an Emeritus Professor of Education, Institute of Education at the University of London.			
collective 	[sound:youdao-0acb4e8a-6c3b7620-c51f0c7a-b5e4a909-3890343c.mp3]	[kə'lektɪv]	adj. 集體的；共同的；集合的；集體主義的 n. 集團；集合體；集合名詞	Amber is a film and photography collective incorporating Amber Films, Side Gallery and Side Cinema.			
confound 	[sound:youdao-842b97ee-31065fce-00f34e0e-83d56ffa-4f3bf550.mp3]	[kən'faʊnd]	vt. 使混淆；挫敗；討厭；使混亂	Congress will find a way to avoid, evade, delay, or otherwise confound these spending limits.			
parody 	[sound:youdao-9e0b584f-04fb3358-6bbc44ab-6d849227-7970e963.mp3]	['parədɪ]	n. 拙劣的模仿；詼諧的改編詩文 vt. 拙劣模仿	It's as if someone was trying to parody right-wing narratives of government bureaucracy and incompetence.			
nation-state 	[sound:youdao-5c209580-c64cc9ca-17e425b0-0e36efc4-4dc416cf.mp3]	[,neiʃən'steit]	n. 單一民族國家	The Khomeinist revolution has not succeeded in destroying the plurimillennial idea of Iran as a nation-state.			
alternatively 	[sound:youdao-5db5b8d2-87134fdf-682c58ba-6ac95973-8ed31ccf.mp3]	[ɔːl'tɜːnətɪvlɪ]	adv. 非此即彼；二者擇一地；作為一種選擇	Alternatively, it's just possible the Wales Office doesn't realise which constituency its own office is in.			
holding 	[sound:youdao-fb982c08-f74081cb-33cc17a8-b3bcebe7-6d2a32b7.mp3]	['həʊldɪŋ]	n. 舉辦；支持 v. 召開；擔任（hold的ing形式）；握住 n. (Holding)人名；(英)霍爾丁	And so Darfur's camps have become giant prisons, holding almost two million people now.			
mathematician 	[sound:youdao-c7c04855-fb799ad0-ba9048ca-51f64859-9ad5a08c.mp3]	[maθəmə'tɪʃn]	n. 數學家 善作數字計算的人	Tech Coast founder Villalobos is a mathematician by training and started a computer-assisted design software company.			
rebate 	[sound:youdao-afebc06e-792aedbb-5e9d9f48-108c55f4-21b57f90.mp3]	['riːbeɪt]	vt. 減少；打折扣 vi. 退還部分付款，打折扣 n. 折扣 n. (Rebate)人名；(西)雷瓦特	The UK's rebate is shrinking from its current annual level of about 3.5bn euros.			
parade 	[sound:youdao-53da62d1-a313333c-612a0131-1dc3e3eb-39788906.mp3]	[pə'reɪd]	n. 遊行；閱兵；炫耀；行進；閱兵場 vt. 遊行；炫耀；列隊行進 vi. 遊行；炫耀；列隊行進 n. (Parade)人名；(法、德)帕拉德	Killowen lodge holds a Battle of the Somme commemoration parade in Coleraine on an annual basis.			
Ethiopian 	[sound:youdao-c95b1cb8-cebf92c9-21a1cfa5-86338f1d-f2a919a9.mp3]	[,i:θi'əupiən]	adj. 埃塞俄比亞的；黑人的 n. 埃塞俄比亞人；黑人	The Ethiopian Airlines Dreamliner flight carried passengers from Addis Ababa to Nairobi, Kenya, the company said.			
fleeting 	[sound:youdao-f6fb918d-9d76517d-04a6325a-9a326979-abb93ef4.mp3]	['fliːtɪŋ]	adj. 飛逝的；轉瞬間的 v. 迅速移動（fleet的ing形式）	Beneath the big, galloping fun of American Slang lies a unifying theme about the fleeting nature of youth.			
annoyance 	[sound:youdao-6ec477fc-10fc3716-54ac0919-f44cbfa9-2ec1e5de.mp3]	[ə'nɒɪəns]	n. 煩惱；可厭之事；打擾	One of three leading players, 180solutions in Seattle is trying to lower the annoyance factor.			
diarrhea 	[sound:youdao-e18c1edc-ad75fb7a-cc6d69d8-66abf6a8-7d4bf1ba.mp3]	[,daɪə'riə]	n. 腹瀉，痢疾	Roche 's Xenical, which prevents the body from digesting fat, causes diarrhea in some patients.			
paranoia 	[sound:youdao-d7f9c7e0-403979f1-9b37d923-82a2e012-1f472b58.mp3]	[,parə'nɒɪə]	n. [心理] 偏執狂，[內科] 妄想狂	In Silicon Valley, paranoia around maintaining fervent control is even higher than other industries.			
cadre 	[sound:youdao-d08de0ae-cbfb7dff-6ca46d9d-1e91677a-896090a5.mp3]	['kɑːdə; 'kɑːdr(ə); 'kadrɪ]	n. 幹部；基礎結構；骨骼	You're one of a cadre of outsider advisers to both General Petraeus and Ambassador Crocker.			
abdominal 	[sound:youdao-abd67e97-1e3ac087-4b1fb1cc-1bcb5fef-434db609.mp3]	[ab'dɒmɪn(ə)l]	adj. 腹部的；有腹鰭的	Two weeks ago, I awoke at 6:30 a.m. with a tingly face and sore abdominal muscles.			
insecure 	[sound:youdao-d1e12b79-dcfcb83e-2c494da6-63e5a215-1b67f831.mp3]	[ˌɪnsɪˈkjʊə(r)]	adj. 不安全的；不穩定的；不牢靠的	Shunting the Balkan operations onto an insecure transmission was a matter of priorities, say analysts.			
biographer 	[sound:youdao-c4eba751-9cd7e8eb-80d5b9b9-d1d34db1-2d95f21f.mp3]	[baɪˈɒɡrəfə(r)]	n. 傳記作者	Modern life is Taylorized life, the Taylor biographer Robert Kanigel observed, a dozen years back.			
surplus 	[sound:youdao-fa8e607b-bd4b0fb4-5de46092-66593cdc-ff7416cc.mp3]	['sɜːpləs]	n. 剩餘；[貿易] 順差；盈餘；過剩 adj. 剩餘的；過剩的	We propose to use the surplus to buy a box of Crackerjacks for the first 3 million fans.			
relocation 	[sound:youdao-c43e4d5d-0133eafa-27323706-b5062ab4-615c9d9a.mp3]	[,riːləʊ'keɪʃən]	n. 重新安置；再佈置，變換佈置	Second, call the largest real estate agencies in town and ask for the relocation department.			
halfway 	[sound:youdao-49d191fa-1f645f71-0a8cd5d9-e008e54d-6c39906a.mp3]	[hɑːf'weɪ; 'hɑːfweɪ]	adv. 到一半；在中途 adj. 中途的；不徹底的	Halfway along New Road there is a street leading south, with an Everest Bank on the corner.			
modern-day 	[sound:youdao-7e26ebbd-c8c08ca5-ee99f069-7b58e468-63418254.mp3]	['mɔdən'dei]	adj. 當代的；今日的	This seven-gallery museum covers rock 'n' roll and soul, from rural roots to modern-day hit makers.			
spew 	[sound:youdao-896c14e2-58d848b9-7a3f63e9-2e2e4e84-a02a4b6a.mp3]	[spjuː]	vt. 噴出；嘔吐 vi. 噴湧；嘔吐	Daily they emit populist scare tactics and spew hate speech upon successful (rich) Americans.			
born 	[sound:youdao-9110c650-1e5d7b5b-5a80bf32-0c7e8809-cbb69231.mp3]	[bɔːn]	v. 出世（bear的過去分詞） adj. 天生的 n. (Born)人名；(柬)邦；(英、西、俄、捷、德、瑞典、匈)博恩	Head for the Bank of China Tower designed by China-born American architect IM Pei in 1990.			
majestic 	[sound:youdao-7f32c9e0-146c1aa7-072a8d95-106c80f3-7ca8134b.mp3]	[mə'dʒestɪk]	adj. 莊嚴的；宏偉的	Here lies Rome's loveliest, yet off-the-beaten-track church, the simple, majestic Santa Sabina (Piazza Pietro d'Illiria 1).			
cleanse 	[sound:youdao-0b25a6ea-3df91e34-1e674f4a-8ed2b5f2-71b9b47a.mp3]	[klenz]	vt. 淨化；使…純淨；使…清潔	Asian carp were imported in the 1970s to cleanse Deep South aquaculture and sewage treatment ponds.			
surreal 	[sound:youdao-5bc62145-6dbb43c3-1bcb61a4-55083747-bffd4c9e.mp3]	[sə'rɪəl]	adj. 超現實主義的；離奇的；不真實的	With or without alcoholic beverages, going to a Timbers game can be a decidedly surreal experience.			
identifiable 	[sound:youdao-ed57f3b3-f15e7e9b-b272a259-0646dfdf-927f0b2c.mp3]	[aɪdentɪ'faɪəb(ə)l]	adj. 可辨認的；可認明的；可證明是同一的	Bright and jangly at its core, his is still an identifiable sound guitarists seek to emulate.			
blue-collar 	[sound:youdao-c52acb36-35a02dc5-5ad661b7-ef00f756-1e311649.mp3]	['blu:,kɔlə]	adj. 藍領階級的，體力勞動者的	It is true that blue-collar, unionized, metal-bending shops that employed workers by the thousands are gone.			
adopted 	[sound:youdao-497d5a06-7af19bc3-7d61795c-a0f1f077-bd4dd6e4.mp3]	[ə'dɒptɪd]	adj. 被收養的；被採用的 v. 採用；接受（adopt的過去式和過去分詞）	Presumably it would have dropped further if the employee ownership plan hadnt been adopted.			
individualism 	[sound:youdao-00b6eb07-09ca29ba-b2125b69-5f2429bf-ec9a7d68.mp3]	[ɪndɪ'vɪdjʊ(ə)lɪz(ə)m]	n. 個人主義；利己主義；個人特徵	The United States of America, that noble bastion of individualism, is bombing in individual sports.			
amnesty 	[sound:youdao-fda8152a-abd43cb0-432a908d-21e57fa4-24af5d96.mp3]	['amnɪstɪ]	n. 大赦，特赦 vt. 對…實行大赦	As well as individual successes, Amnesty International's work has also influenced international events, Ms Barnes said.			
disgusted 	[sound:youdao-97dbcfd9-87eea024-587aaf6c-6d3e4238-c73dc09e.mp3]	[dɪs'ɡʌstɪd]	adj. 厭惡的；厭煩的 v. 使噁心；使討厭（disgust的過去分詞）	"Michelle Hough, 39, who has a disabled daughter, said she was ""disgusted"" after noticing the van."			
delineate 	[sound:youdao-cda66616-02df7d49-0b0970e8-1c255ac0-f4f6e251.mp3]	[dɪ'lɪnɪeɪt]	vt. 描繪；描寫；畫…的輪廓	In the interview, Schmidt was clear to delineate what makes Android and iOS different.			
commend 	[sound:youdao-4a60b75b-44724926-9a9daab0-42395a99-e2287edd.mp3]	[kə'mend]	vt. 推薦；稱讚；把…委託 vi. 稱讚；表揚	Without political stability, Bahrain has little to commend it as a business or leisure destination.			
rink 	[sound:youdao-89ff3ffc-99123c76-908b06df-52de008b-a5e44159.mp3]	[rɪŋk]	n. 溜冰場，室內溜冰場；冰球場 vi. 溜冰 n. (Rink)人名；(德)林克	The Capitals practiced at their rink on Saturday before heading back to New York.			
confiscate 	[sound:youdao-a8c0554f-1a267397-095534b2-1b9504c3-8fc70f97.mp3]	['kɒnfɪskeɪt]	vt. 沒收；充公；查抄 adj. 被沒收的	They borrow in our name and then confiscate our wealth through taxes and inflation.			
neuron 	[sound:youdao-eb79994a-0435fc62-0d3e4dfa-3cf4ce8d-44fb06f2.mp3]	['njʊərɒn]	n. [解剖] 神經元，神經單位	One of their tools is a laser that can activate a neuron in the animal's brain.			
rafter 	[sound:youdao-d586067a-3c2df397-ed4d4d3c-9c9b7d58-ae9fb5ec.mp3]	['rɑːftə]	n. 椽；筏夫（等於raftsman） vt. 裝椽於	Rafter ended the match with a serve into the body that Escude returned wide.			
compact 	[sound:youdao-7fee882e-0943abbb-7e38c733-a6cabcd9-8e75b634.mp3]	[kəm'pakt]	n. 合同，契約；小粉盒 adj. 緊湊的，緊密的；簡潔的 vt. 使簡潔；使緊密結合	Boston is a compact city, which makes it easy to get around on foot.			
paradoxically 	[sound:youdao-2c1ed59d-e6d8d3ca-0868390a-45b73a6f-14181da2.mp3]	[,parə'dɔksikəli]	adv. 自相矛盾地；似非而是地；反常地	That means cash-rich Apple is, paradoxically, borrowing money to finance dividends and buybacks for its shareholders.			
deli 	[sound:youdao-d393fa31-d0e8b4f6-f4ee8d46-38b051da-206c66ba.mp3]	['delɪ]	n. 熟食店；[食品] 熟食品（等於delicatessen） n. (Deli)人名；(法、意、羅、塞、匈、瑞典)德利	At the tiny, deli counter-style Monk Bar Chocolatiers, a diet-threatening array of treats is on display.			
resilience 	[sound:youdao-5bdc4f44-7575cdaa-b6827ebf-32f1292d-2a8221f0.mp3]	[rɪ'zɪlɪəns]	n. 恢復力；彈力；順應力	"The report on Dounreay's ""seismic and tsunami resilience"" has been sent to the Nuclear Installations Inspectorate."			
encircle 	[sound:youdao-3412d6e3-6bcd2294-347e17e3-3d4de17e-b5b67c1b.mp3]	[ɪn'sɜːk(ə)l; en-]	vt. 包圍；圍繞；環繞	The heavily immigrant banlieues that encircle French towns are steeped in unemployment, gang violence and rage.			
eclipse 	[sound:youdao-6261b564-7ee71661-31268886-d197242b-966989cd.mp3]	[ɪ'klɪps]	vt. 使黯然失色；形成蝕 n. 日蝕，月蝕；黯然失色	While Bezos does not see physical books disappearing anytime soon, he sees a certain inevitability to their eclipse.			
generously 	[sound:youdao-2bc46393-7815a042-7c5afd19-35da8949-55cd531d.mp3]	['dʒenərəsli]	adv. 慷慨地；寬大地；豐盛地	The two companies managed to stave off government regulation for years by lobbying hard — and spending generously.			
hydraulic 	[sound:youdao-a12bd3ba-401c208e-aeab32e4-6a4280c0-35aab22e.mp3]	[haɪ'drɔːlɪk; haɪ'drɒlɪk]	adj. 液壓的；水力的；水力學的	But once again technology came to the rescue, with hydraulic fracturing and breakthroughs in oil drilling.			
coroner 	[sound:youdao-7a251eeb-e2dd3d38-42300ce4-fd313c14-176dbe0f.mp3]	['kɒr(ə)nə]	n. 驗屍官 n. (Coroner)人名；(法)科羅內	The Cumberland County coroner said a bullet had been left in the gun before Tuesday's shooting.			
finger 	[sound:youdao-1e7cbb8b-ae82ad85-3c359bbd-c559b3fc-550ce873.mp3]	['fɪŋgə]	n. 手指；指針，指狀物 vt. 伸出；用手指撥弄 vi. 用指觸摸；撥弄 n. (Finger)人名；(英、德、捷)芬格；(俄)芬格爾	Responsible for what the Ouija board might say, Although it's my finger that moves the piece.			
measured 	[sound:youdao-2216917f-782efcb6-f60e41f0-86619663-6a09a132.mp3]	['meʒəd]	adj. 量過的；慎重的；基於標準的；有規則的 v. 測量，判斷（measure的過去分詞）	Instead, she rewrote it in more measured terms, moderating her sharp remarks with an opening apology.			
boldly 	[sound:youdao-d568361a-906c8b9f-e5ca8c2f-06b3a8f2-fb40d562.mp3]	['bəuldli]	adv. 大膽地；冒失地；顯眼地	But Phillip Watts, head of exploration and production, boldly reported a three-year average replacement rate of 102%.			
lotion 	[sound:youdao-0274581a-c0fad944-07d31f55-892a1498-4c8d531e.mp3]	['ləʊʃ(ə)n]	n. 洗液；洗滌劑	The company had gotten into businesses as diverse as hearing aids and skin care lotion.			
delicately 	[sound:youdao-0d7e95bc-6b7e3d86-429cdfcb-bcfc9ff5-b291cac5.mp3]	['delikət]	adv. 微妙地；精緻地；優美地	Financial markets are delicately poised at the start of the year, to say the least.			
impediment 	[sound:youdao-192f36ea-b5fda92c-0fb76113-49fd20fc-8774963d.mp3]	[ɪm'pedɪm(ə)nt]	n. 口吃；妨礙；阻止	The old curriculum was not just an impediment, it was actually driving people away.			
burglary 	[sound:youdao-5e9055b8-957290fc-4946c644-89c056f5-c8da0f9b.mp3]	['bɜːglərɪ]	n. 盜竊，夜盜；盜竊行為 v. 入室行竊	The car had been stolen a week before the attempted burglary, which happened Tuesday afternoon.			
dynasty 	[sound:youdao-e2a051ad-2a9f4181-91f25139-2511b67f-add503a7.mp3]	['dɪnəstɪ]	n. 王朝，朝代	Culinary-wise, not much more happened in imperial Beijing until the 1911 overthrow of the Ching Dynasty.			
rediscover 	[sound:youdao-cbf7dabc-589fec98-bb282577-45b31a78-07c7bcd2.mp3]	[riːdɪ'skʌvə]	vt. 重新發現；再發現	The sooner we rediscover the right balance, the better for Britain and our alliance.			
differentiation 	[sound:youdao-847318a4-bbbe42cd-507ef8cb-f3de5c6f-ca07a1f9.mp3]	[,dɪfərenʃɪ'eɪʃn]	n. 變異，[生物] 分化；區別	In this instance, biotech execs appear to understand that product differentiation matters, especially to payers.			
watery 	[sound:youdao-138fd8d3-6ee689c6-50ced514-22a065e7-6dee914e.mp3]	['wɔːt(ə)rɪ]	adj. 水的；淡的；濕的；鬆軟的；有雨意的	Inches of swell squeezed in behind us and the non-wave magnified into a watery bomb.			
disco 	[sound:youdao-8268c673-00f81cde-6bd57e3c-ae3b52d5-f28dfd2b.mp3]	['dɪskəʊ]	n. 迪斯科舞廳；的士高 n. (Disco)人名；(意)迪斯科	Maybe the silly names are another boomer trend, like disco, asymmetrical hairstyles, Botox and spray tans.			
downsize 	[sound:youdao-8c3f1b01-d1233541-1a75d409-557823bf-035551ea.mp3]	['daʊnsaɪz]	vt. 以較小尺寸設計；縮小尺寸；裁減人數	As companies downsize, restructure and refocus, employees are asked to do more and work harder.			
heap 	[sound:youdao-ba3e3a8d-a9efec91-76afc65f-179443b7-a417e4e6.mp3]	[hiːp]	n. 堆；許多；累積 vt. 堆；堆積 vi. 堆起來 n. (Heap)人名；(芬)海亞普；(東南亞國家華語)協；(英)希普	Now Qualcomm may be in position to enjoy a long run atop the semiconductor heap.			
buttocks 	[sound:youdao-a0bce614-3a02cea4-08ec1330-824cd321-2bbd40fc.mp3]	[bʌtəks]	n. 臀部；縱剖線（buttock的複數） v. 用過背摔摔出對手（buttock的第三人稱單數）	He has no muscle left in his buttocks, which is the last place to go.			
forcefully 	[sound:youdao-5d2e6ebb-16938eff-36bcfd07-3a506c5e-992ac664.mp3]	['fɔrsfəli]	adv. 強有力地；激烈地；有說服力地	And in the interim we are going to move forcefully on a U.N. sanctions regime.			
bewildered 	[sound:youdao-d8779686-64c3466d-36eec995-cba8b9e8-814bfe16.mp3]	[bɪ'wɪldəd]	adj. 困惑的；眩 v. 使困惑（bewilder的過去分詞）	Which is why we've been a little bewildered by some of the reviews of their efforts.			
resurrect 	[sound:youdao-cbb70a21-687afb88-ef0d685c-ba4457e8-90850ce7.mp3]	[rezə'rekt]	vt. 使復活；復興；挖出 vi. 復活	However, the right owner could easily resurrect the moribund franchise and restore it to prominence.			
following 	[sound:youdao-7c7d602e-70063349-12570958-86cee2a2-d1de6a84.mp3]	['fɒləʊɪŋ]	adj. 下面的；其次的，接著的 n. 下列事物；一批追隨者 v. 跟隨；沿行（follow的ing形式）	But, along with the need for more pools, the sport needs greater following and publicity.			
thee 	[sound:youdao-23ea0b1d-99fbee0d-b870720d-072a067a-f641de1b.mp3]	[eiː]	pron. 你（古英語thou的賓格） n. (Thee)人名；(德)特厄	So in the future, ask not for whom the phone tolls, the toll charge is for thee.			
electromagnetic 	[sound:youdao-d1312974-39e86681-7b82b653-e19b0d43-cfcf95e2.mp3]	[ɪ,lektrə(ʊ)mag'netɪk]	adj. 電磁的	For the offense, one would utilize electronic jamming, electronic deception, directed-energy weapons, and electromagnetic pulse weapons.			
foreclosure 	[sound:youdao-baefc219-71e31369-da837c6d-b0b2cd05-128d8b77.mp3]	[fɔː'kləʊʒə]	n. 喪失抵押品贖回權	Some lenders will agree to a lower, fixed-rate payment if the alternative is no payment and foreclosure.			
iron 	[sound:youdao-28b02155-64a07ffa-f189434c-23c1f84a-c323a1f8.mp3]	['aɪən]	n. 熨斗；烙鐵；堅強 vt. 熨；用鐵鑄成 adj. 鐵的；殘酷的；剛強的 vi. 熨衣；燙平 n. (Iron)人名；(英)艾恩	Built from charred wood it represents the growth of the iron industry across the last three centuries.			
preferable 	[sound:youdao-881a3cf6-9cc321a6-661e56f5-adccb1e4-e45369ec.mp3]	['pref(ə)rəb(ə)l]	adj. 更好的，更可取的；更合意的	For couples, it's preferable that the higher earner delay taking Social Security as long as possible.			
backfire 	[sound:youdao-00187483-087a2368-546aa39c-aca9ab75-4134d63a.mp3]	[bak'faɪə]	vi. 放出逆火；預先放火；產生出乎意料及事與願違的結果 n. 逆火，回火	But Joe Rundle, head of trading at ETX Capital, in London, said the cap would backfire.			
anti-semitism 	[sound:youdao-667275e8-07204970-f285c704-2ac76cce-3c550a42.mp3]	[,anti'semitizəm]	n. 反猶太主義	One long-standing editor resigned a couple of years ago after a row about anti-semitism.			
individuality 	[sound:youdao-aa4ebc9c-247ae52a-ad5b2651-bc7b49bc-4e7d3aef.mp3]	[,ɪndɪvɪdjʊ'alɪtɪ]	n. 個性；個人；個人特徵；個人的嗜好（通常複數）	To foster creativity and individuality, each of the company's 36 brands has design autonomy.			
captivity 	[sound:youdao-6d9dd0c3-cbe755bd-257663ce-64f339da-f9467114.mp3]	[kap'tɪvɪtɪ]	n. 囚禁；被關	Only 11 of Philemon's group of 20 hostages survived their seven months of captivity.			
defeated 	[sound:youdao-af368739-b2334e34-df282c0b-722c9ef4-6c4f712a.mp3]	[dɪ'fiːtɪd]	v. 被擊敗，失敗（defeat的過去式） adj. 挨打的，被打敗的	Mr Leigh's amendment was defeated by 473 votes to 23, a majority of 450.			
flourish 	[sound:youdao-3655a271-59a600e4-80a273c0-0e0b8a97-12fb928b.mp3]	['flʌrɪʃ]	n. 興旺；茂盛；揮舞；炫耀；華飾 vt. 誇耀；揮舞 vi. 繁榮，興旺；茂盛；活躍；處於旺盛時期	Emerging from the main buildings, outdoor xeriscaped gardens flourish with more than 30, 000 plants.			
reassurance 	[sound:youdao-443cb089-c25e04e9-410184dc-6d5fdb26-ccf55fd6.mp3]	[riːə'ʃʊərəns]	n. 使安心，再保證	Mr Able said the increase in the number of patrols was to provide reassurance.			
downright 	[sound:youdao-7203557a-874b4f38-4bcb268a-029c7b99-ba7611c5.mp3]	['daʊnraɪt]	adj. 明白的；直率的；顯明的 adv. 完全，徹底；全然	In fact, toward the end of a bad day, it can start to feel downright personal!			
derail 	[sound:youdao-37314164-a5674fa6-ae32cc79-9ee58d59-7dd4285f.mp3]	[dɪ'reɪl]	vt. 使出軌 vi. 出軌 n. 脫軌；[鐵路] 脫軌器	"Venezuela's foreign minister said the meeting would ""derail"" good relations between the two countries."			
steward 	[sound:youdao-d94053f7-4509e4c7-aa2c557e-4e5420d9-fe6e5db7.mp3]	['stjuːəd]	n. 管家；乘務員；膳務員；工會管事 vi. 當服務員；當管事 vt. 管理 n. (Steward)人名；(英)斯圖爾德	He has served as prison gym steward and coached a champion prison baseball team.			
revitalize 	[sound:youdao-e3662cf1-1f7e9060-a31cb7f1-f6059fcb-1fce4ca0.mp3]	[,ri'vaɪtəlaɪz]	vt. 使…復活；使…復興；使…恢復生氣	How will Facebook help revitalize education in similar ways that, for example, Google has?			
bumper 	[sound:youdao-2720f677-446be1b8-81a007e2-8f69e7bc-85f356b0.mp3]	['bʌmpə]	adj. 豐盛的，豐富的 n. 緩衝器，保險桿，減震物 vt. 裝滿；為…祝酒 vi. 乾杯	Close enough to make me wonder if I should check my bumper when I get home.			
remake 	[sound:youdao-9c18d6e6-adaf77d8-a47749ad-bf40ebf8-6c27c101.mp3]	[riː'meɪk]	n. 重做；重制物 vt. 再制	The remake provides a much more polished interface, PlexSync support and speedier access to large libraries.			
manageable 	[sound:youdao-60a7c40f-dddea6dd-bab0f985-59dfa45a-bceeabea.mp3]	['manɪdʒəb(ə)l]	adj. 易管理的；易控制的；易辦的	It offers a good return on investment, consistent profitability, manageable leverage, and good starting valuation.			
reciprocal 	[sound:youdao-ebbc968c-444bb872-06ccb227-dfec0b97-bc852cc0.mp3]	[rɪ'sɪprək(ə)l]	adj. 互惠的；相互的；倒數的，彼此相反的 n. [數] 倒數；互相起作用的事物	That's like saying that a business should have reciprocal relations with every one of its accounts.			
tentatively 	[sound:youdao-dc4c9e2f-3f6c93bf-eff38169-81857396-4aaaa1bd.mp3]	['tɛntətɪvli]	adv. 暫時地；試驗性地	Later this year Hagar will introduce a new three-year reserve, tentatively titled Golden Eagle.			
kayak 	[sound:youdao-d770fc6b-53c22e6b-33f4a7be-123016c3-2c3516ac.mp3]	['kaɪak]	n. 皮船；愛斯基摩小艇	Drifting in a kayak is one of the best ways to spot a mother otter with her pup.			
cover-up 	[sound:youdao-497a4003-872b562f-7c8281e0-33366fba-6936727f.mp3]	['kʌvə,ʌp]	n. 掩飾；隱蔽	Decorating is important too, although no amount of frosting will cover-up marginal ingredients or careless baking.			
storefront 	[sound:youdao-77b46143-5162f705-45e13d32-aaf90fa9-607d4b05.mp3]	['stɔːfrʌnt]	n. [貿易] 店面；店頭	Pause for lunch in the narrow storefront-cum-dining room and taste test the bouillabaisse or the succulent fish tacos.			
